country_code_iso2,region,locode,port_name,latitude,longitude,facade,fao_areas,is_active
CN,,CNLMG,Wenling Longmen Port,28.41666667,121.9833333,,{61},False
BG,,BGTRK,Trakata,43.217778,27.979722,,{37.4.2},False
US,,USOJC,Mccloud,41.25,-122.1333333,,{67},False
BR,,BRKMH,Comercinho,-16.2833333333333,-41.7833333333333,,{41.1.3},False
JP,,JPMMS,Minamisoma,37.63333333,140.95,,{61},False
EE,,EELKU,Loksa Küla,59.575,25.7275,,{27.3.d.32},False
JP,,JPASO,Asago,35.33333333,134.85,,{61},False
IT,,ITC3D,Casacanditella,42.25,14.2,,{37.2.1},False
IT,,ITCT4,Canterano,41.93333333,13.03333333,,{37.1.3},False
NO,,NOSVE,Svelgen,61.76666667,5.283333333,,{27.4.a},False
MV,,MVKDP,Kulhudhuffushi Port,6.616666667,73.06666667,,{51.4},False
BR,,BRJPY,Japi,-6.45,-35.9333333333333,,{41.1.2},False
BR,,BRSLP,São Luiz Do Paraitinga,-23.2166666666667,-45.3,,{41.2.1},False
BR,,BREUS,Eugenópolis,-21.0833333333333,-42.1833333333333,,{41.2.1},False
KR,,KRYNG,Yongin,37.26666667,127.1,,{61},False
GB,,GBFXT,Felixstowe,51.96666667,1.35,,{27.4.c},False
KR,,KRGJG,Gijang-Gun/Busan,35.25,129.2,,{61},False
EE,,EERKV,"Rannaküla, Kihelkonna V",58.48611111,22.03,,"{27.3.d.29,27.3.d.28.2}",False
BR,,BRMHL,Machacalis,-17.0666666666667,-40.7166666666667,,{41.1.3},False
EE,,EESVS,Saastna Vanasadam,58.736,23.559,,{27.3.d.29},False
BR,,BRIGB,Itagibá,-14.2833333333333,-39.8333333333333,,{41.1.3},False
LV,,LVJUR,Jurmalciems,56.300349,20.984058,,{27.3.d.26},False
GB,,GBHUR,Hurst,51.45,-0.85,,{27.7.d},False
GB,,GBHDY,Hadley,52.7,-2.483333333,,{27.7.a},False
NO,,NOKDF,Kaldfjord,69.68333333,18.73333333,,{27.2.a.2},False
FI,,FIKNS,Kannus,63.9,23.91666667,,{27.3.d.31},False
JP,,JPGSG,"Tsumagoi, Gunma",36.51666667,138.5166667,,{61},False
IT,,ITC5O,Canzo,45.85,9.266666667,,"{37.1.3,37.2.1}",False
BR,,BRBJM,Belo Jardim,-8.33333333333333,-36.4166666666667,,{41.1.2},False
NL,,NLRET,Retranchement,51.35,3.383333333,,{27.4.c},False
DE,,DEKRE,Krefeld,51.33333333,6.566666667,,{27.4.c},False
IE,,IETRP,Tom Roes Point Terminal/Drogheda,53.71666667,-6.3,,{27.7.a},False
GB,,GBSFY,Salford,53.48333333,-2.266666667,,{27.7.a},False
CA,,CAHIB,Hibernia,44.33333333,-64.98333333,,{21.4.X},False
BR,,BRYNA,Itanagra,-12.2666666666667,-38.0333333333333,,{41.1.3},False
BR,,BRLDE,Lima Duarte,-21.8333333333333,-43.7833333333333,,{41.2.1},False
NO,,NOHSV,Hausvikstrand,58.03333333,6.983333333,,"{27.4.a,27.3.a.20}",False
KR,,KRCJA,Chuja,33.95,126.3,,{61},False
CN,,CNBBU,Bengbu,32.93333333,117.35,,{61},False
GB,,GBTNG,Tingwall,59.08333333,-3.05,,{27.4.a},False
IT,,ITBG4,Borgo Valbelluna,46.05,12.0666666666667,,{37.2.1},False
DK,,DKBLB,Ballebro,54.999,9.67,,"{27.3.c.22,27.3.b, c}",False
BR,,BRUPM,Upanema,-5.63333333333333,-37.25,,{41.1.2},False
DK,,DKHMM,Humlum,56.54,8.551,,{27.4.b},False
JP,,JPIWD,Iwade,34.25,135.3166667,,{61},False
BR,,BRSEO,Serro,-18.6,-43.3833333333333,,{41.1.3},False
CN,,CNYUL,Yulin,22.63333333,110.15,,{61},False
EE,,EESDM,Sadama,58.95388889,23.53194444,,"{27.3.d.29,27.3.d.32}",False
JP,,JPISG,Ishigaki,24.33333333,124.15,,{61},False
BR,,BRPMX,Piracema,-20.5,-44.4666666666667,,{41.2.1},False
BR,,BRJOP,Joanópolis,-22.9166666666667,-46.2666666666667,,{41.2.1},False
TH,,THRKL,Rom Klao Truck Terminal,13.73333333,100.7666667,,{71},False
BR,,BRCEN,Colônia Leopoldina,-8.9,-35.7166666666667,,{41.1.2},False
SE,,SEUTL,"Stenshamn, Utlängan",56.03,15.781667,,{27.3.d.25},False
BR,,BRDCR,David Canabarro,-28.3833333333333,-51.85,,{41.2.1},False
EE,,EEVNA,Vasknarva,59.00805556,27.73666667,,{27.3.d.32},False
DK,,DKSAE,Sæby,57.3342,10.5197,,{27.3.a.21},False
SE,,SELSO,Lisö,58.942833,17.761833,,{27.3.d.27},False
ES,,ESPSJ,Playa San Juan - Guia Isora,28.1785774,-16.81475969,,{34.1.2},False
PT,,PTMDM,Madalena Do Mar,32.7,-7.1333,,{34.1.12},False
BR,,BRLSC,Lagoa Seca,-7.15,-35.85,,{41.1.2},False
NO,,NOKAN,Kalvneset,61.93333333,5.45,,"{27.2.a.2,27.4.a}",False
CR,,CRLIO,Puerto Limón,10.0,-83.03333333,,{31},False
SE,,SESIS,Siknäs,65.843167,22.688017,,{27.3.d.31},False
BR,,BRAAE,Arame,-4.88333333333333,-46.0,,{41.1.1},False
DK,,DKREY,Ry,56.0919,9.7593,,"{27.3.c.22,27.3.b, c}",False
BR,,BRTGE,Timbó Grande,-26.6166666666667,-50.6666666666667,,{41.2.1},False
EE,,EELUH,Luhina,58.43444444,23.13694444,,"{27.3.d.29,27.3.d.28.1}",False
SE,,SESFT,Skellefteå,64.76666667,20.95,,{27.3.d.31},False
EE,,EELPE,Lepispäe,59.57805556,25.93611111,,{27.3.d.32},False
IN,,INTRV,Thiruvananthapuram (Ex Trivandrum),8.483333333,76.91666667,,"{57.1,51.4}",False
EE,,EENST,Naistlaiu Sadam,58.81666667,23.03333333,,{27.3.d.29},False
CN,,CNBHY,Beihai,21.53333333,109.2833333,,{61},False
EE,,EELOO,Loode,57.97333333,21.98305556,,"{27.3.d.28.1,27.3.d.28.2}",False
BR,,BRBOO,Bodocó,-7.76666666666667,-39.9333333333333,,{41.1.2},False
GR,,GRSIT,Siteia,35.209,26.111,,{37.3.1},False
SE,,SEUDD,Uddevalla,58.35,11.933333,,{27.3.a.20},False
EE,,EEJAY,Jaagu-Mardi,58.291,24.044,,{27.3.d.28.1},False
EE,,EEKUX,Kuri-Salu,58.949,22.935,,"{27.3.d.29,27.3.d.32}",False
BR,,BRTOR,Torres,-29.3333333333333,-49.7166666666667,,{41.2.2},False
JP,,JPTBO,Tobo,33.48333333,129.9333333,,{61},False
BR,,BRBVN,Boa Vista Do Incra,-28.8166666666667,-53.3833333333333,,{41.2.1},False
SE,,SEBKV,Björköviken,62.246717,17.5225,,{27.3.d.30},False
SE,,SESA5,Sannäs,58.741667,11.246667,,{27.3.a.20},False
PT,,PTBAN,Banatica,38.66666667,-9.2,,{27.9.a},False
DE,,DERDI,Redentin,53.932,11.486,,"{27.3.c.22,27.3.b, c}",False
ES,,ESCIN,Cayon,43.32091393,-8.60261332,,{27.8.c},False
CA,,CAYDI,Davis Inlet,55.85,-60.86666667,,{21.2.H},False
GB,,GBCBE,Camber,50.93333333,0.783333333,,{27.7.d},False
